"uri_hls";"name";"definition";"birthdate";"new_uri_wikidata";"gv_uri_wikidata";"new_uri_idref";"gv_uri_idref";"new_uri_viaf";"gv_uri_viaf"
"https://hls-dhs-dss.ch/articles/026297";"Johann Rudolph Zwinger";"Swiss anatomist";"(1692, 5, 3)";"http://www.wikidata.org/entity/Q1696044";"";"http://www.idref.fr/160508649/id";"http://www.idref.fr/160508649/id";"http://viaf.org/viaf/10627761";""
"https://hls-dhs-dss.ch/articles/009753";"Marie de Sales Chappuis";"nun (1793-1875)";"(1793, 6, 16)";"http://www.wikidata.org/entity/Q1896288";"http://www.wikidata.org/entity/Q1896288";"";"";"http://viaf.org/viaf/29667561";"http://viaf.org/viaf/29667561"
"https://hls-dhs-dss.ch/articles/009305";"Marie Goegg-Pouchoulin";"Swiss feminist (1826-1899), editor";"(1826, 5, 24)";"http://www.wikidata.org/entity/Q1897348";"http://www.wikidata.org/entity/Q1897348";"http://www.idref.fr/052481557/id";"";"http://viaf.org/viaf/42640298";"http://viaf.org/viaf/42640298"
"https://hls-dhs-dss.ch/articles/032097";"Christian Friedrich Schönbein";"German-Swiss chemist, discoverer of guncotton and ozone (1799-1868)";"(1799, 10, 18)";"http://www.wikidata.org/entity/Q61319";"";"http://www.idref.fr/067719783/id";"http://www.idref.fr/067719783/id";"http://viaf.org/viaf/51825255";""
"https://hls-dhs-dss.ch/articles/014304";"Otto Brunfels";"German botanist and theologian (1488-1534)";"(1488, 1, 1)";"http://www.wikidata.org/entity/Q63206";"http://wikidata.org/entity/Q63206";"http://www.idref.fr/029588278/id";"http://www.idref.fr/029588278/id";"http://viaf.org/viaf/34489382";""
"https://hls-dhs-dss.ch/articles/010819";"Daniel Schenkel";"Swiss Protestant theologian";"(1813, 12, 21)";"http://www.wikidata.org/entity/Q70445";"http://www.wikidata.org/entity/Q70445";"http://www.idref.fr/074189808/id";"";"http://viaf.org/viaf/25374363";"http://viaf.org/viaf/25374363"
"https://hls-dhs-dss.ch/articles/010496";"Heinrich Cornelius Agrippa";"German polymath, physician, legal scholar and soldier (1486–1535)";"(1486, 9, 23)";"http://www.wikidata.org/entity/Q76568";"http://wikidata.org/entity/Q76568";"http://www.idref.fr/026678942/id";"http://www.idref.fr/026678942/id";"http://viaf.org/viaf/24596804";""
"https://hls-dhs-dss.ch/articles/010056";"Silja Walter";"Swiss novelist, poet and Benedictine nun (1919-2011)";"(1919, 4, 23)";"http://www.wikidata.org/entity/Q116450";"http://www.wikidata.org/entity/Q116450";"http://www.idref.fr/028899334/id";"";"http://viaf.org/viaf/68951001";"http://viaf.org/viaf/68951001"
"https://hls-dhs-dss.ch/articles/009040";"Richard Meili";"Swiss psychologist (1900-1991)";"(1900, 2, 28)";"http://www.wikidata.org/entity/Q117986";"http://www.wikidata.org/entity/Q117986";"http://www.idref.fr/034395415/id";"";"http://viaf.org/viaf/108844733";"http://viaf.org/viaf/108844733"
"https://hls-dhs-dss.ch/articles/016053";"Henri-Frédéric Amiel";"Swiss philosopher and poet (1821-1881)";"(1821, 9, 27)";"http://www.wikidata.org/entity/Q123916";"http://www.wikidata.org/entity/Q123916";"http://www.idref.fr/026684535/id";"";"http://viaf.org/viaf/39372874";"http://viaf.org/viaf/39372874"
